Name; Blog; Error; Improved; new URL; accessable
2lingual Twitter Search;null;No link;false;;false
2sms API;null;No link;false;;false
3.0 Trippin' in API;http://trippinin.blogspot.com/;-;false;;false
30 Boxes API;http://30boxes.com/blog/;-;true;http://30boxes.com;true
30 Boxes EvokeTV;null;No link;false;;false
30 Digits Web Extractor API;null;No link;false;;false
30Loops API;https://30loops.net/blog/;javax.net.ssl.SSLHandshakeException;false;;false
31Events API;null;No link;false;;false
33Revoluciones;null;No link;false;;false
360 Business Tool API;http://www.360businesstool.com/blog/;-;true;http://360businesstool.com;true
360 Cities;null;No link;false;;false
360 Technologies Bulk SMS API;null;No link;false;;false
360 Tuscany;null;No link;false;;false
360 degree Sardinia;null;No link;false;;false
360T API;null;No link;false;;false
360Text API;null;No link;false;;false
360voice API;http://blog.360voice.com/;-;false;;false
3D Geology Maps;null;No link;false;;false
3D Guide to Downtown Ferndale, Michigan;null;No link;false;;false
3D Map for Hong Kong;null;No link;false;;false
3DArmory API;http://www.3darmory.com/blog/;-;false;;false
3DGeoStats API;null;No link;false;;false
3Jam API;null;No link;false;;false
3NGNetworks API;null;No link;false;;false
3PlayMedia API;null;No link;false;;false
3Scale Account Management API;http://www.3scale.net/company/news/;javax.net.ssl.SSLHandshakeException;false;;false
3Scale Analytics API;http://www.3scale.net/company/news/;javax.net.ssl.SSLHandshakeException;false;;false
3Scale Billing API;http://www.3scale.net/company/news/;javax.net.ssl.SSLHandshakeException;false;;false
3TDM by Telephone Data Management;null;No link;false;;false
3TIER API;null;No link;false;;false
3arabTV Photos;null;No link;false;;false
3arabtv Clips;null;No link;false;;false
3d Movie Store;null;No link;false;;false
3dCart API;null;No link;false;;false
3defy API;null;No link;false;;false
3scale Service Management API;http://www.3scale.net/company/news;javax.net.ssl.SSLHandshakeException;false;;false
3taps API;http://3taps.com/blog;-;true;http://3taps.com;true
4 in 1 search;null;No link;false;;false
411Sync + Yahoo Local Search;null;No link;false;;false
411Sync + Yahoo Traffic;null;No link;false;;false
411Sync API;null;No link;false;;false
411Sync Target Clearance;null;No link;false;;false
411Sync Travel;null;No link;false;;false
411Sync Walmart Electronics;null;No link;false;;false
42com API;null;No link;false;;false
42matters API;null;No link;false;;false
43 Places API;null;No link;false;;false
43Things API;http://blog.robotcoop.com/;-;false;;false
43things GeoSearch;null;No link;false;;false
43things Vision;null;No link;false;;false
44tips - your visual start page;null;No link;false;;false
46elks API;http://www.46elks.com/blog/;-;false;;false
4:14 XML Bible API;null;No link;false;;false
4C API;null;No link;false;;false
4GuysFromRolla.com API;null;No link;false;;false
4Hotels.us Hotel Maps;null;No link;false;;false
4PSA DNS Manager API;http://blog.4psa.com/;-;false;;false
4PSA VoipNow API;http://blog.4psa.com/;-;false;;false
4Shared API;http://blog.4shared.com/;-;false;;false
4Wheelz RouteMate;null;No link;false;;false
4chan API;http://www.4chan.org/blog/;-;true;http://4chan.org;true
4hoursearch;null;No link;false;;false
4isbn;null;No link;false;;false
4sqoogle;null;No link;false;;false
4sqtransit;null;No link;false;;false
4sqwifi;null;No link;false;;false
4sync API;http://blog.4sync.com/;-;false;;false
5 Dollar Auction;null;No link;false;;false
5 TVs;null;No link;false;;false
50 Shops;null;No link;false;;false
50 Top US Medical Schools;null;No link;false;;false
5000 Webcams;null;No link;false;;false
500friends API;null;No link;false;;false
500px API;http://500px.com/blog;-;false;;false
50BTC API;null;No link;false;;false
51.com API;null;No link;false;;false
511 Driving Times API;null;No link;false;;false
511 Real-time Transit Departures API;null;No link;false;;false
5Min Videopedia API;http://blog.aol.com/tag/5min/;-;false;;false
5centSMS API;null;No link;false;;false
5gig API;http://5gig_Blog;java.net.UnknownHostException;false;;false
5min API;http://blog.aol.com/tag/5min/;-;false;;false
5pm API;http://blog.5pmweb.com/;-;false;;false
5star SMS API;http://5starsmsng.com/blog/;-;false;;false
5th Bar;null;No link;false;;false
5th Bar Phone Reviews;null;No link;false;;false
5yMail API;null;No link;false;;false
615 Nashville;null;No link;false;;false
615 Nasvhille;null;No link;false;;false
6px API;null;No link;false;;false
6rounds API;null;No link;false;;false
7 Wonders of the World Map;null;No link;false;;false
7-Eleven Election API;null;No link;false;;false
71Miles;null;No link;false;;false
73 Summits ErgDB API;null;No link;false;;false
73s Ham Radio API;null;No link;false;;false
796 Xchange API;null;No link;false;;false
7digital API;http://blogs.7digital.com;java.net.ConnectException;false;;false
80legs API;null;No link;false;;false
88 Miles API;null;No link;false;;false
8by1;null;No link;false;;false
8coupons API;http://blog.8coupons.com/;-;false;;false
8tracks API;null;No link;false;;false
8x8 CRM API;http://www.8x8.com/AboutUs/8x8Blog.aspx;java.net.UnknownHostException;true;http://com;false
8x8 Click to Dial API;http://www.8x8.com/AboutUs/8x8Blog.aspx;java.net.UnknownHostException;true;http://com;false
8x8 External IVR API;http://www.8x8.com/AboutUs/8x8Blog.aspx;java.net.UnknownHostException;true;http://com;false
8x8 Real Time Statistics Reporting API;http://www.8x8.com/AboutUs/8x8Blog.aspx;java.net.UnknownHostException;true;http://com;false
8x8 Recordings API;http://www.8x8.com/AboutUs/8x8Blog.aspx;java.net.UnknownHostException;true;http://com;false
8x8 Reporting API;http://www.8x8.com/AboutUs/8x8Blog.aspx;java.net.UnknownHostException;true;http://com;false
8x8 Web Callback API;http://www.8x8.com/AboutUs/8x8Blog.aspx;java.net.UnknownHostException;true;http://com;false
8zero2;null;No link;false;;false
90sec.tv API;null;No link;false;;false
999 Search;null;No link;false;;false
9flats API;http://blog.9flats.com/;-;false;;false
9jasms API;null;No link;false;;false
9kw.eu API;null;No link;false;;false
A B2B Mashup to get Linkedin Users on Your Site;null;No link;false;;false
A Paris Hilton video site;null;No link;false;;false
A State of Trance API;null;No link;false;;false
A View From My Seat API;null;No link;false;;false
A Walk Through The Word;null;No link;false;;false
A World of Nirvana;null;No link;false;;false
A-Cards;null;No link;false;;false
A-Dato Lynx API;null;No link;false;;false
A.nnotate API;http://annotate.textensor.com/;-;false;;false
A3 Ultimate API;null;No link;false;;false
AAA Cooper Transportation API;null;No link;false;;false
AAI@EduHr AOSI API;null;No link;false;;false
AASHE STARS API;http://www.aashe.org/blog;-;false;;false
ABBYY Cloud OCR API;null;No link;false;;false
ABN AMRO Markets API;null;No link;false;;false
ABTXT API;null;No link;false;;false
ACHWorks API;null;No link;false;;false
ACME GeoRSS Map Viewer;null;No link;false;;false
ACRES Preserves Map;null;No link;false;;false
ACT Scores by US State;null;No link;false;;false
AChecker API;null;No link;false;;false
ADI Time API;null;No link;false;;false
ADL 3D Repository (3DR) API;null;No link;false;;false
ADP AdvancedMD API;http://blog.advancedmd.com/;java.net.ConnectException;false;;false
ADS Securities API;null;No link;false;;false
AES WebLink API;null;No link;false;;false
AFD Software Postcode Everywhere API;null;No link;false;;false
AFL Mobile Web Services API;null;No link;false;;false
AHDS Identifier Resolver API;null;No link;false;;false
AIDS.gov Service Provider Locator API;null;No link;false;;false
AIDSinfo API;null;No link;false;;false
AILUN API;null;No link;false;;false
AIM Phoneline API;null;No link;false;;false
AIMS Address API;null;No link;false;;false
AIMcrm;null;No link;false;;false
AIRCN Flight Simulate Map;null;No link;false;;false
AISpeech API;http://blog.aispeech.com/;-;true;http://aispeech.com;true
AJ Feeds;null;No link;false;;false
ALFAcashier API;null;No link;false;;false
ALTER Reflective API;null;No link;false;;false
AMEE API;http://Company_Blog;java.net.UnknownHostException;false;;false
AMEE Location Footprinter;null;No link;false;;false
AMEX OPEN Forum API;null;No link;false;;false
AML Source;null;No link;false;;false
AND GeoAccess API;null;No link;false;;false
ANU Quantum Random Number Generator API;null;No link;false;;false
AO Monitor;null;No link;false;;false
AOL Calendar API;null;No link;false;;false
AOL Instant Messenger API;null;No link;false;;false
AOL JAMS;null;No link;false;;false
AOL Journals API;null;No link;false;;false
AOL Mail on Netvibes;null;No link;false;;false
AOL On Network API;null;No link;false;;false
AOL Open Auth API;null;No link;false;;false
AOL Open Mail API;null;No link;false;;false
AOL Pictures API;null;No link;false;;false
AOL Presence API;null;No link;false;;false
AOL Video API;null;No link;false;;false
AOL Video Upload API;null;No link;false;;false
AOLMail for Facebook;null;No link;false;;false
AORecipeBook API;null;No link;false;;false
AP National News + Google Maps;null;No link;false;;false
APAC Stock Markets by Phone;null;No link;false;;false
APEC Securities API;null;No link;false;;false
API Evangelist API;http://apievangelist.com/blog/;-;false;;false
API O MAT API;http://www.apiomat.com/blog/;-;true;http://apiomat.com;true
API Rates API;null;No link;false;;false
API Scores;null;No link;false;;false
API discovery with Scheme;null;No link;false;;false
API status;null;No link;false;;false
API.LEIPZIG API;null;No link;false;;false
API2Cart API;null;No link;false;;false
APICloud.Me ColorTag API;null;No link;false;;false
APICloud.Me FaceRect API;null;No link;false;;false
APIfy API;null;No link;false;;false
APInbox API;null;No link;false;;false
APIphany API;null;No link;false;;false
APPELLO API;null;No link;false;;false
ARCS API;null;No link;false;;false
ARIN Reg-RWS API;null;No link;false;;false
ARIN Whois API;null;No link;false;;false
ARKive API;http://blog.arkive.org/;java.net.UnknownHostException;true;http://arkive.org;false
ARSights;null;No link;false;;false
ASC National Registry Search API;null;No link;false;;false
ASCII Maps;null;No link;false;;false
ASIROM API;null;No link;false;;false
ASK KEN� - Visual Knowledge Browser;null;No link;false;;false
ASP.NET Web API;null;No link;false;;false
ASPECT Vocabulary Bank for Education API;null;No link;false;;false
ASPNetScripts.net;null;No link;false;;false
ASPSMS API;null;No link;false;;false
ASPonline API;null;No link;false;;false
AT&T Call Management API;null;No link;false;;false
AT&T Device Capabilities API;http://developerboards.att.lithium.com/t5/AT-T-Developer-...;-;false;;false
AT&T In-App Messaging API;null;No link;false;;false
AT&T Location API;http://developerboards.att.lithium.com/t5/AT-T-Developer-...;-;false;;false
AT&T M2X API;null;No link;false;;false
AT&T MMS API;http://developerboards.att.lithium.com/t5/AT-T-Developer-...;-;false;;false
AT&T Notary Management API;http://developerboards.att.lithium.com/t5/AT-T-Developer-...;-;false;;false
AT&T Payment API;http://developerboards.att.lithium.com/t5/AT-T-Developer-...;-;false;;false
AT&T SMS API;null;No link;false;;false
AT&T Speech API;http://developerboards.att.lithium.com/t5/Forums/ct-p/FUR...;-;false;;false
AT&T Synaptic Compute API;http://developerboards.att.lithium.com/t5/AT-T-Developer-...;-;false;;false
AT&T Synaptic Storage API;http://developerboards.att.lithium.com/t5/AT-T-Developer-...;-;false;;false
AT&T WAP Push API;null;No link;false;;false
AT&T mHealth Platform API;http://developerboards.att.lithium.com/t5/AT-T-Developer-...;-;false;;false
ATC BusinessLink API;null;No link;false;;false
ATutor AChecker API;null;No link;false;;false
ATutor AContent API;null;No link;false;;false
ATutor Transformable API;null;No link;false;;false
AVANTSSAR API;null;No link;false;;false
AVI Geeks;null;No link;false;;false
AVIN API;null;No link;false;;false
AWS Identity and Access Management API;null;No link;false;;false
AWeber Email Marketing API;http://www.aweber.com/blog/;-;true;http://aweber.com;true
AXA Banque API;null;No link;false;;false
AXti.me;null;No link;false;;false
AYLIEN Text Analysis API;http://blog.aylien.com/;-;false;;false
Aadhaar UIDAI Authentication API;null;No link;false;;false
Aalto University API;null;No link;false;;false
Aalto social interface API;http://otasizzle.wordpress.com/;-;false;;false
Aanbieding;null;No link;false;;false
Aarki API;http://blog.aarki.com/;javax.net.ssl.SSLHandshakeException;false;;false
Abbreviations API;null;No link;false;;false
Abdullah Gul Reviews;null;No link;false;;false
AbeBooks API;null;No link;false;;false
AbleSMS API;null;No link;false;;false
Ably API;http://blog.ably.io/;-;false;;false
AbouThiSite;null;No link;false;;false
About Nokia;null;No link;false;;false
About Pune City;null;No link;false;;false
About.me API;http://blog.about.me/;-;false;;false
Abra Mobile Websites API;null;No link;false;;false
Abundant AtomicClock API;null;No link;false;;false
Abundant Barnes & Noble Price API;null;No link;false;;false
Abundant DeadOrAlive API;null;No link;false;;false
Abundant World Population API;null;No link;false;;false
Academic Benchmarks API;null;No link;false;;false
Academic Ranking of World Universities (Shanghai Ranking);null;No link;false;;false
Academic Site Navigaiton;null;No link;false;;false
Acapela API;null;No link;false;;false
AccentTraining.net;null;No link;false;;false
Access ACS API;http://community.acstechnologies.com/;java.net.ConnectException;true;http://acstechnologies.com;false
Access Denied Map;null;No link;false;;false
Access Plans USA API;null;No link;false;;false
Access Taiwan API;http://blog.accesstaiwan.org/;-;false;;false
Access Your Calendar by Phone;null;No link;false;;false
AccountingSuite API;http://www.accountingsuite.com/_blog/accountingsuite;javax.net.ssl.SSLHandshakeException;false;;false
Accthub API;null;No link;false;;false
AccuWeather API;null;No link;false;;false
Accuity IBAN Connect API;null;No link;false;;false
Accumulus API;null;No link;false;;false
Accurate Append API;http://www.accurateappend.com/blog/;-;false;;false
AccurateTax API;null;No link;false;;false
Ace Badminton;null;No link;false;;false
AceProject API;http://blog.aceproject.com/;-;true;http://aceproject.com;true
AchieveMint API;http://blog.achievemint.com/;-;false;;false
Achievement Standards Network API;http://asn.jesandco.org/blog;-;false;;false
Achivy;null;No link;false;;false
Achta Sepa API;null;No link;false;;false
Acid;null;No link;false;;false
Acid reflux information site;null;No link;false;;false
AcidJs IMDb Fetcher API;http://wemakesites.net/blog.html;-;false;;false
Acme GeoRSS;null;No link;false;;false
Acoustid API;null;No link;false;;false
Acquia Cloud API;null;No link;false;;false
Acromine API;null;No link;false;;false
Across Communications API;null;No link;false;;false
Acrostic.me Trending API;null;No link;false;;false
ActBlue API;http://blog.actblue.com/;-;false;;false
ActPHP API;null;No link;false;;false
ActionKit API;null;No link;false;;false
ActionZap;null;No link;false;;false
Activ Financial API;null;No link;false;;false
Activa Live Chat API;null;No link;false;;false
Active API;http://community.active.com/blogs/productdev;java.net.UnknownHostException;true;http://active.com;false
Active RegOnline API;null;No link;false;;false
Active.com API;http://developer.active.com/blog;-;false;;false
Active.com Camping API;http://community.active.com/blogs/productdev;java.net.UnknownHostException;true;http://active.com;false
ActiveBuilding API;http://www.activebuilding.com/blog/;-;true;http://activebuilding.com;true
ActiveCampaign API;null;No link;false;;false
ActiveCollab API;http://www.a51dev.com/blog;-;false;;false
ActivePrint and Box.net;null;No link;false;;false
ActiveStandards API;http://blog.activestandards.com/;javax.net.ssl.SSLHandshakeException;false;;false
ActiveTrails;null;No link;false;;false
Activism Network Community API;null;No link;false;;false
ActorTracker;null;No link;false;;false
Actual Reports API;null;No link;false;;false
Actually;null;No link;false;;false
Actwitty API;https://www.actwitty.com/blog;java.net.ConnectException;false;;false
Acu Identity API;null;No link;false;;false
Acuity Appointment Scheduling API;null;No link;false;;false
Aculab Cloud API;http://cloudblog.aculab.com/;-;false;;false
AcyMailing API;null;No link;false;;false
Ad Server Solutions API;null;No link;false;;false
Ad-Juster API;null;No link;false;;false
AdColony API;null;No link;false;;false
AdGooroo API;http://www.adgooroo.com/blog/;-;false;;false
AdJuggler API;null;No link;false;;false
AdSpeed API;http://www.adspeed.com/Knowledges/15/Blog.html;-;false;;false
AdStack API;null;No link;false;;false
AdStage Platform API;http://blog.adstage.io/;-;false;;false
AdYapper API;http://blog.adyapper.com/;-;false;;false
Adactio Elsewhere;null;No link;false;;false
AdamsNames Registration API;null;No link;false;;false
Adap.tv API;http://blog.adap.tv/;-;true;http://adap.tv;true
AdaptivePlanning API;null;No link;false;;false
Adbeat API;http://www.adbeat.com/blog/;-;false;;false
Adcentricity ADMobile API;null;No link;false;;false
Add To Trip API;null;No link;false;;false
Add to TomTom API;null;No link;false;;false
AddLive API;http://www.addlive.com/blog/;-;true;http://addlive.com;true
AddNag API;null;No link;false;;false
AddShoppers Social Product API;null;No link;false;;false
AddThis Analytics API;http://addthis.com/blog/;-;false;;false
AddThis Client API;http://www.addthis.com/blog/#.UcE8h9jNnOw;-;false;;false
AddThis Content Feeds API;http://www.addthis.com/blog/#.UcFCw9jNnOw;-;false;;false
AddThis Menu API;http://www.addthis.com/blog/;-;false;;false
AddThis Services API;http://www.addthis.com/blog/;-;false;;false
AddThis Sharing Endpoints API;http://www.addthis.com/blog/;-;false;;false
AddThis Trending Content Box API;http://www.addthis.com/blog/#.UcFEtNjNnOw;-;false;;false
AddThis Welcome Bar API;http://www.addthis.com/blog/#.UcE8h9jNnOw;-;false;;false
AddToAny Menu API;http://www.addtoany.com/blog/;-;false;;false
Adding Tags to MyBlogLog;null;No link;false;;false
Address Fix;null;No link;false;;false
Address Meister API;null;No link;false;;false
AddressDoctor API;null;No link;false;;false
AddressFinder API;http://www.abletech.co.nz/blog;java.net.UnknownHostException;true;http://co.nz;false
AddressTwo API;http://blog.addresstwo.com/;-;true;http://addresstwo.com;true
AddressingHistory API;http://addressinghistory.blogs.edina.ac.uk/blog/;-;false;;false
Addy API;http://blog.addy.co/;-;true;http://addy.co;true
Adegga API;http://blog.adegga.com/;javax.net.ssl.SSLHandshakeException;false;;false
Aden Forshaw's The Cat API;null;No link;false;;false
Adeptol CloudConnect API;http://blog.ajaxdocumentviewer.com/blog/;org.jsoup.HttpStatusException;true;http://ajaxdocumentviewer.com;false
Adfonic API;http://blog.adfonic.com/;-;false;;false
Adform API;null;No link;false;;false
AdhereTech API;http://blog.adheretech.com/;java.net.UnknownHostException;true;http://adheretech.com;false
Adhocracy API;null;No link;false;;false
Adhysteria;null;No link;false;;false
Adigami Web Analytics API;http://blog.adigami.com/;-;true;http://adigami.com;true
Adility API;http://blog.adility.com/;-;false;;false
Adisem;null;No link;false;;false
Adknowledge API;http://www.adknowledge.com/news-press-read-the-buzz;-;false;;false
Adlib API;null;No link;false;;false
Administrate API;http://www.getadministrate.com/blog/;javax.net.ssl.SSLHandshakeException;false;;false
AdmitPad API;null;No link;false;;false
Admob API;null;No link;false;;false
Adobe Feeds API;null;No link;false;;false
Adobe Flex Developers Jobs Board;null;No link;false;;false
Adobe Marketing Cloud API;null;No link;false;;false
Adobe PhoneGap Build API;null;No link;false;;false
Adobe Project Adthenticate API;null;No link;false;;false
Adobe Share API;null;No link;false;;false
Adobe Social API;null;No link;false;;false
Adobe Wave API;null;No link;false;;false
Adobe on AIR Bus Tour API;null;No link;false;;false
Adocu API;http://blog.adocu.com/;java.net.UnknownHostException;true;http://adocu.com;false
Adriagate API;null;No link;false;;false
Adriatic.hr API;null;No link;false;;false
Adtile API;http://blog.adtile.me/;-;false;;false
Adult Or Not;null;No link;false;;false
Advantech API;null;No link;false;;false
Advection.NET API;http://blog.advection.net/;-;false;;false
Adventure Works Resorts;null;No link;false;;false
Adventure in Lollipopland;null;No link;false;;false
AdventureLink API;http://www.adventurelink.com/blog;-;false;;false
Advertisement Tool - AdverTool;null;No link;false;;false
Advertory API;null;No link;false;;false
Advice Slip API;null;No link;false;;false
Advogato API;null;No link;false;;false
Adyen API;null;No link;false;;false
Adzerk API;http://www.adzerk.com/blog/;-;false;;false
Adzuna API;http://www.adzuna.co.uk/blog/;java.net.UnknownHostException;true;http://co.uk;false
Aepona API;http://www.aepona.com/blog/;-;false;;false
Aerapay API;null;No link;false;;false
Aetna CarePass API;null;No link;false;;false
Aevum Obscurum API;null;No link;false;;false
Affilae API;https://affilae.com/en/blog;-;false;;false
Affiliate Spice API;http://blog.affiliatespice.com/;java.net.UnknownHostException;true;http://affiliatespice.com;false
Affiliate Window Merchant API;http://blog.affiliatewindow.com/;java.net.UnknownHostException;true;http://affiliatewindow.com;false
Affiliate Window ProductServe API;http://blog.affiliatewindow.com/;java.net.UnknownHostException;true;http://affiliatewindow.com;false
Affilinet API;null;No link;false;;false
AffinityLive API;http://www.affinitylive.com/company/blog/;-;false;;false
Afla.MD API;null;No link;false;;false
AfriGIS API;null;No link;false;;false
Africa Bespoke;null;No link;false;;false
Africa Tourism Information Portal;null;No link;false;;false
Africa in Style by Trek Holidays;null;No link;false;;false
Africa's Talking API;null;No link;false;;false
Africori API;null;No link;false;;false
Afrous Mashup Builder;null;No link;false;;false
After Hours Doctors Office;null;No link;false;;false
After the Deadline API;http://blog.afterthedeadline.com;-;true;http://afterthedeadline.com;true
AfterShip API;http://blog.aftership.com/;-;true;http://aftership.com;true
Aftermarket.pl API;null;No link;false;;false
Again But Slower;null;No link;false;;false
Age Directory;null;No link;false;;false
AgeAnalyzer;null;No link;false;;false
AgeTak API;null;No link;false;;false
AgencyIQ;null;No link;false;;false
Agencyport Turnstile API;http://www.agencyport.com/blog/;-;true;http://agencyport.com;true
Agendize Action API;http://blog.agendize.com/;-;false;;false
Agendize Analytics API;http://blog.agendize.com/;-;false;;false
Agendize Developers API;http://blog.agendize.com/;-;false;;false
Agendize Platform API;http://blog.agendize.com/;-;false;;false
Agent Earth;null;No link;false;;false
Agent Storm API;null;No link;false;;false
AgentFactor Travel API;null;No link;false;;false
AgentRank API;null;No link;false;;false
AgentRank for WordPress;null;No link;false;;false
Agenzy.com;null;No link;false;;false
Aggreget;null;No link;false;;false
Agile Bench API;http://agilebench.com/blog/;java.net.ConnectException;false;;false
Agile CRM API;null;No link;false;;false
AgileTask API;null;No link;false;;false
AgileZen API;http://blog.agilezen.com/;-;true;http://agilezen.com;true
Agnostic Platform Aggregator;null;No link;false;;false
Agree'nSign API;http://blog.agreensign.com/;-;false;;false
Agregador Financiero API;null;No link;false;;false
Agrolink API;null;No link;false;;false
Agua Biz;null;No link;false;;false
Agumbo;null;No link;false;;false
Aha! API;http://blog.aha.io/;-;true;http://aha.io;true
Ahoy Hoy!;null;No link;false;;false
Ahrefs API;http://blog.ahrefs.com/;-;true;http://ahrefs.com;true
Ai Applied Data Miner API;null;No link;false;;false
Ai Applied Demographics API;null;No link;false;;false
Ai Applied Language Detection API;null;No link;false;;false
Ai Applied Sentiment Analysis API;null;No link;false;;false
Ai Applied Text Extract API;null;No link;false;;false
Ai Applied Text Label API;null;No link;false;;false
Aiaioo Labs VakText API;http://aiaioo.wordpress.com/;-;true;http://wordpress.com;true
AidData API;http://blog.aiddata.org/;-;true;http://aiddata.org;true
AidData USD-2009 Deflator API;null;No link;false;;false
Aidsvu;null;No link;false;;false
Air Force Recruiter Locator;null;No link;false;;false
Air Travel Emissions Calculator;null;No link;false;;false
Air Veejay;null;No link;false;;false
Air-Trak API;null;No link;false;;false
AirBNB API;http://blog.airbnb.com/;-;true;http://airbnb.com;true
AirCellCall;null;No link;false;;false
AirNow API;null;No link;false;;false
AirPush API;http://www.airpush.com/category/airpush-mobile-advertisin...;java.net.UnknownHostException;true;http://com;false
AirSpeed;null;No link;false;;false
AirVPN API;null;No link;false;;false
Airbana API;http://blog.airbana.net/;-;true;http://airbana.net;true
Airbrake API;null;No link;false;;false
Airbrake Data API;null;No link;false;;false
Airbreak Notifier API;null;No link;false;;false
Airbrite API;null;No link;false;;false
Aircraft Flight Tracking Demo;null;No link;false;;false
Airgram API;null;No link;false;;false
Airlift & DocuSign;null;No link;false;;false
Airline Toll Free Numbers;null;No link;false;;false
Airplane Booking System;null;No link;false;;false
Airplane Specifications, Photos, and Videos;null;No link;false;;false
Airport Parking;null;No link;false;;false
Airport Transfer Worldwide API;null;No link;false;;false
AirportHotels;null;No link;false;;false
AisleBuyer API;http://blog.aislebuyer.com/;-;true;http://aislebuyer.com;true
Ajax Map Comparison;null;No link;false;;false
Akaber Continuous Video;null;No link;false;;false
Akama Music;null;No link;false;;false
Akamai API;https://blogs.akamai.com/;-;false;;false
Akismet API;null;No link;false;;false
Akvo API;http://www.akvo.org/blog/;-;false;;false
Aladtec API;null;No link;false;;false
Alagad Fortune API;null;No link;false;;false
Alameda County Service Provider API;null;No link;false;;false
Alan Bush Music Trust Compositions API;null;No link;false;;false
Alanda Software;null;No link;false;;false
Alarm Clock Rhapsody;null;No link;false;;false
Alaska Satellite Facility API;null;No link;false;;false
Alaska Travel Guide;null;No link;false;;false
Alau.me API;null;No link;false;;false
Albany eVERIFY API;http://www.albany.co.uk/blog/;java.net.UnknownHostException;true;http://co.uk;false
Album Art Cloud;null;No link;false;;false
Album Cover Art;null;No link;false;;false
Album art search;null;No link;false;;false
Albumart.org;null;No link;false;;false
Alcatel-Lucent New Conversation API;null;No link;false;;false
AlchemyAPI API;http://www.alchemyapi.com/blog/;-;true;http://alchemyapi.com;true
AlchemyAPI Keyword and Term Extraction API;null;No link;false;;false
AlchemyAPI Language Detection API;null;No link;false;;false
AlchemyAPI Text Categorization API;null;No link;false;;false
Alconost Nitro;null;No link;false;;false
Alert The Boss | Instant Customer Feedback Solution;null;No link;false;;false
